MyData,PhotoshopNames,TreeOG,OrderLadderised
21_11_F7_LW,S. sciuri,2111F7LW,1
S. pseudointermedius,S. pseudointermedius,DSM21284,2
S. schleiferi spp schleiferi,"S, schleiferi spp schleiferi",DSM6628,3
S. schleiferi spp coagulans,S. schleiferi spp coagulans,NCTC12218,4
S. simulans,S. simulans,NCTC11046,5
2_7_1_Y,S. kloosii,271Y,6
27_4_5_SW,S. napaliensis,2745SW,7
S. pseudoxylosus,S. pseudoxylosus,DSM107950,8
S. xylosus,S. xylosus,NCTC11043,9
S. caeli,S. caeli,82B,10
S. edaphicus,S. ediphicus,DSM104441,11
S. saprophyticus spp saprophyticus,S. saprophyticus spp saprophyticus,NCTC7292,12
S. saprophyticus spp Bovis,S. saprophyticus spp bovis,DSM18669,13
S. haemolyticus,S. haemolyticus,NCTC11042,14
S. hominis spp hominis,S. hominis,NCTC11320,15
S. epidermidis,S. epidermidis,NCTC11047,16
27_4_20_LC,S. simiae,27420LC,17
Sa_TPS 3043,S. aureus (SaTPS3043),SaTPS3043,18
EOE 41,S. aureus (EOE041),EOE041,19
EOE 23,S. aureus (EOE023),EOE023,20
EOE 42,S. aureus (EOE042),EOE042,21
EOE 3,S. aureus (EOE003),EOE003,22
EOE 35,S. aureus (EOE035),EOE035,23
EOE 30,S. aureus (EOE030),EOE030,24
Sa_TPS 3104,S. aureus (SaTPS3104),SaTPS3104,25
Sa_TPS 3105,S. aureus (SaTPS3105),SaTPS3105,26
Sa_TPS 3026 (JKD6159),S. aureus (SaTPS3026),SaTPS3026,27
DAR_06_18_1_LC1,S. aureus (DAR06181LC1),DAR06181LC1,28
SAR_14_18_N1,S. aureus (SAR1418N1),SAR1418N1,29
AR_05_S1,S. aureus (AR05S1),AR05S1,30
AR_039_18_O1,S. aureus (AR03918O1),AR03918O1,31
DAR_09_18_1_3,S. aureus (DAR091813),DAR091813,32
SAR_12_18_N_1,S. aureus (SAR1218N1),SAR1218N1,33
AR_056_18_O1,S. aureus (AR05618O1),AR05618O1,34
JW_30866_O BHY_3,S. aureus (JW30866OBHY3),JW30866OBHY3,35
JW 32660_O5,S. aureus (JW32660O5),JW32660O5,36
JW_31330_O_BHY_1,S. aureus (JW31330OBHY1),JW31330OBHY1,37
JW_31330_L_BHY_2,S. aureus (JW31330LBHY2),JW31330LBHY2,38
ASARM 73,S. aureus (ASARM73),ASARM73,39
ASARM 70,S. aureus (ASARM70),ASARM70,40
ASARM 74,S. aureus (ASARM74),ASARM74,41
ASARM 61,S. aureus (ASARM61),ASARM61,42
ASARM 72,S. aureus (ASARM72),ASARM72,43
ASARM 71,S. aureus (ASARM71),ASARM71,44
B_128_S3,S. aureus (B128S3),B128S3,45
Sa_TPS 3072,S. aureus (SaTPS3072),SaTPS3072,46
B_142_S1,S. aureus (B142S1),B142S1,47
P32,S. aureus (P32),P32,48
HU25,S. aureus (HU25),HU25,49
DEU2,S. aureus (DEU2),DEU2,50
MU2,S. aureus (MU2),MU2,51
MU1,S. aureus (MU1),MU1,52
DEU1,S. aureus (DEU1),DEU1,53
SAR_10_18_S1,S. aureus (SAR1018S1),SAR1018S1,54
DAR_04_18_1_C1,S. aureus (DAR04181C1),DAR04181C1,55
8325-4,S. aureus (8325-4),83254,56
13_S44_S9,S. aureus (13S44S9)*,13S44S9EO,57
USFL012,S. aureus (USFL012),USFL012,58
USFL009,S. aureus (USFL009),USFL009,59
USFL020,S. aureus (USFL020),USFL020,60
USFL008,S. aureus (USFL008),USFL008,61
USFL016,S. aureus (USFL016),USFL016,62
USFL018,S. aureus (USFL018),USFL018,63
Sa_TPS 3097,S. aureus (SaTPS3097),SaTPS3097,64
