Sample_Full,Species,Aureus,Formal_Names
S. saprophyticus spp Bovis,DSM18669,NA,S. saprophyticus spp bovis
S. caeli,82B,NA,S. caeli
DEU1,NA,DEU1,S. aureus (DEU1)
P32,NA,P32,S. aureus (P32)
DAR_09_18_1_3,NA,DAR091813,S. aureus (DAR091813)
27_4_5_SW,2745SW,NA,S. napaliensis
S. xylosus,NCTC11043,NA,S. xylosus
B_128_S3,NA,B128S3,S. aureus (B128S3)
S. saprophyticus spp saprophyticus,NCTC7292,NA,S. saprophyticus spp saprophyticus
2_7_1_Y,271Y,NA,S. kloosii
USFL009,NA,USFL009,S. aureus (USFL009)
USFL018,NA,USFL018,S. aureus (USFL018)
DAR_06_18_1_LC1,NA,DAR06181LC1,S. aureus (DAR06181LC1)
DEU2,NA,DEU2,S. aureus (DEU2)
JW_31330_L_BHY_2,NA,JW31330LBHY2,S. aureus (JW31330LBHY2)
SAR_10_18_S1,NA,SAR1018S1,S. aureus (SAR1018S1)
ASARM 61,NA,ASARM61,S. aureus (ASARM61)
JW 32660_O5,NA,JW32660O5,S. aureus (JW32660O5)
EOE 3,NA,EOE003,S. aureus (EOE003)
AR_05_S1,NA,AR05S1,S. aureus (AR05S1)
S. epidermidis,NCTC11047,NA,S. epidermidis
S. edaphicus,DSM104441,NA,S. ediphicus
MU2,NA,MU2,S. aureus (MU2)
EOE 42,NA,EOE042,S. aureus (EOE042)
Sa_TPS 3104,NA,SaTPS3104,S. aureus (SaTPS3104)
MU1,NA,MU1,S. aureus (MU1)
AR_039_18_O1,NA,AR03918O1,S. aureus (AR03918O1)
ASARM 74,NA,ASARM74,S. aureus (ASARM74)
S. pseudointermedius,DSM21284,NA,S. pseudointermedius
13_S44_S9,13S44S9EO,13S44S9EO,S. aureus (13S44S9)*
S. hominis spp hominis,NCTC11320,NA,S. hominis
ASARM 70,NA,ASARM70,S. aureus (ASARM70)
S. pseudoxylosus,DSM107950,NA,S. pseudoxylosus
ASARM 71,NA,ASARM71,S. aureus (ASARM71)
SAR_12_18_N_1,NA,SAR1218N1,S. aureus (SAR1218N1)
ASARM 73,NA,ASARM73,S. aureus (ASARM73)
Sa_TPS 3072,NA,SaTPS3072,S. aureus (SaTPS3072)
JW_30866_O BHY_3,NA,JW30866OBHY3,S. aureus (JW30866OBHY3)
B_142_S1,NA,B142S1,S. aureus (B142S1)
Sa_TPS 3097,NA,SaTPS3097,S. aureus (SaTPS3097)
USFL012,NA,USFL012,S. aureus (USFL012)
S. schleiferi spp schleiferi,DSM6628,NA,"S, schleiferi spp schleiferi"
Sa_TPS 3043,NA,SaTPS3043,S. aureus (SaTPS3043)
Sa_TPS 3105,NA,SaTPS3105,S. aureus (SaTPS3105)
EOE 30,NA,EOE030,S. aureus (EOE030)
USFL020,NA,USFL020,S. aureus (USFL020)
ASARM 72,NA,ASARM72,S. aureus (ASARM72)
EOE 41,NA,EOE041,S. aureus (EOE041)
Sa_TPS 3026 (JKD6159),NA,SaTPS3026,S. aureus (SaTPS3026)
USFL016,NA,USFL016,S. aureus (USFL016)
27_4_20_LC,27420LC,NA,S. simiae
S. schleiferi spp coagulans,NCTC12218,NA,S. schleiferi spp coagulans
HU25,NA,HU25,S. aureus (HU25)
S. haemolyticus,NCTC11042,NA,S. haemolyticus
AR_056_18_O1,NA,AR05618O1,S. aureus (AR05618O1)
8325-4,NA,83254,S. aureus (8325-4)
EOE 35,NA,EOE035,S. aureus (EOE035)
EOE 23,NA,EOE023,S. aureus (EOE023)
S. simulans,NCTC11046,NA,S. simulans
JW_31330_O_BHY_1,NA,JW31330OBHY1,S. aureus (JW31330OBHY1)
21_11_F7_LW,2111F7LW,NA,S. sciuri
DAR_04_18_1_C1,NA,DAR04181C1,S. aureus (DAR04181C1)
SAR_14_18_N1,NA,SAR1418N1,S. aureus (SAR1418N1)
USFL008,NA,USFL008,S. aureus (USFL008)
